table_name,column_name,data_type,character_maximum_length,is_nullable,column_default
Appointments,AppointmentId,integer,,NO,
Appointments,StaffUserId,character varying,450,NO,
Appointments,ResidentId,integer,,NO,
Appointments,EventName,character varying,150,YES,
Appointments,AppointmentDate,date,,NO,
Appointments,AppointmentTime,time without time zone,,NO,
Appointments,AppointmentType,character varying,30,NO,
Appointments,SessionFormat,character varying,30,NO,
Appointments,Location,character varying,200,YES,
Appointments,Notes,character varying,500,YES,
Appointments,Status,character varying,20,NO,"'Scheduled'::character varying"
Appointments,CreatedAt,timestamp with time zone,,NO,CURRENT_TIMESTAMP
Appointments,UpdatedAt,timestamp with time zone,,NO,CURRENT_TIMESTAMP
AspNetRoleClaims,Id,integer,,NO,
AspNetRoleClaims,RoleId,text,,NO,
AspNetRoleClaims,ClaimType,text,,YES,
AspNetRoleClaims,ClaimValue,text,,YES,
AspNetRoles,Id,text,,NO,
AspNetRoles,Name,character varying,256,YES,
AspNetRoles,NormalizedName,character varying,256,YES,
AspNetRoles,ConcurrencyStamp,text,,YES,
AspNetUserClaims,Id,integer,,NO,
AspNetUserClaims,UserId,text,,NO,
AspNetUserClaims,ClaimType,text,,YES,
AspNetUserClaims,ClaimValue,text,,YES,
AspNetUserLogins,LoginProvider,text,,NO,
AspNetUserLogins,ProviderKey,text,,NO,
AspNetUserLogins,ProviderDisplayName,text,,YES,
AspNetUserLogins,UserId,text,,NO,
AspNetUserRoles,UserId,text,,NO,
AspNetUserRoles,RoleId,text,,NO,
AspNetUserTokens,UserId,text,,NO,
AspNetUserTokens,LoginProvider,text,,NO,
AspNetUserTokens,Name,text,,NO,
AspNetUserTokens,Value,text,,YES,
AspNetUsers,Id,text,,NO,
AspNetUsers,DisplayName,character varying,100,NO,
AspNetUsers,PrivacyPolicyAccepted,boolean,,NO,false
AspNetUsers,CookieConsentAccepted,boolean,,NO,false
AspNetUsers,PrivacyPolicyAcceptedAtUtc,timestamp with time zone,,YES,
AspNetUsers,CookieConsentAcceptedAtUtc,timestamp with time zone,,YES,
AspNetUsers,SafehouseId,integer,,YES,
AspNetUsers,UserName,character varying,256,YES,
AspNetUsers,NormalizedUserName,character varying,256,YES,
AspNetUsers,Email,character varying,256,YES,
AspNetUsers,NormalizedEmail,character varying,256,YES,
AspNetUsers,EmailConfirmed,boolean,,NO,
AspNetUsers,PasswordHash,text,,YES,
AspNetUsers,SecurityStamp,text,,YES,
AspNetUsers,ConcurrencyStamp,text,,YES,
AspNetUsers,PhoneNumber,text,,YES,
AspNetUsers,PhoneNumberConfirmed,boolean,,NO,
AspNetUsers,TwoFactorEnabled,boolean,,NO,
AspNetUsers,LockoutEnd,timestamp with time zone,,YES,
AspNetUsers,LockoutEnabled,boolean,,NO,
AspNetUsers,AccessFailedCount,integer,,NO,
AspNetUsers,SocialWorkerCode,text,,YES,
AspNetUsers,SupporterId,integer,,YES,
DonationAllocations,AllocationId,integer,,NO,
DonationAllocations,DonationId,integer,,YES,
DonationAllocations,SafehouseId,integer,,YES,
DonationAllocations,ProgramArea,text,,YES,
DonationAllocations,AmountAllocated,numeric,,YES,
DonationAllocations,AllocationDate,date,,YES,
DonationAllocations,AllocationNotes,text,,YES,
Donations,DonationId,integer,,NO,
Donations,SupporterId,integer,,YES,
Donations,DonationType,text,,YES,
Donations,DonationDate,date,,YES,
Donations,IsRecurring,boolean,,YES,
Donations,CampaignName,text,,YES,
Donations,ChannelSource,text,,YES,
Donations,CurrencyCode,text,,YES,
Donations,Amount,numeric,,YES,
Donations,EstimatedValue,numeric,,YES,
Donations,ImpactUnit,text,,YES,
Donations,Notes,text,,YES,
Donations,ReferralPostId,integer,,YES,
EducationRecords,EducationRecordId,integer,,NO,
EducationRecords,ResidentId,integer,,YES,
EducationRecords,RecordDate,date,,YES,
EducationRecords,EducationLevel,text,,YES,
EducationRecords,SchoolName,text,,YES,
EducationRecords,EnrollmentStatus,text,,YES,
EducationRecords,AttendanceRate,numeric,,YES,
EducationRecords,ProgressPercent,numeric,,YES,
EducationRecords,CompletionStatus,text,,YES,
EducationRecords,Notes,text,,YES,
HealthWellbeingRecords,HealthRecordId,integer,,NO,
HealthWellbeingRecords,ResidentId,integer,,YES,
HealthWellbeingRecords,RecordDate,date,,YES,
HealthWellbeingRecords,GeneralHealthScore,numeric,,YES,
HealthWellbeingRecords,NutritionScore,numeric,,YES,
HealthWellbeingRecords,SleepQualityScore,numeric,,YES,
HealthWellbeingRecords,EnergyLevelScore,numeric,,YES,
HealthWellbeingRecords,HeightCm,numeric,,YES,
HealthWellbeingRecords,WeightKg,numeric,,YES,
HealthWellbeingRecords,Bmi,numeric,,YES,
HealthWellbeingRecords,MedicalCheckupDone,boolean,,YES,
HealthWellbeingRecords,DentalCheckupDone,boolean,,YES,
HealthWellbeingRecords,PsychologicalCheckupDone,boolean,,YES,
HealthWellbeingRecords,Notes,text,,YES,
HomeVisitations,VisitationId,integer,,NO,
HomeVisitations,ResidentId,integer,,YES,
HomeVisitations,VisitDate,date,,YES,
HomeVisitations,SocialWorker,text,,YES,
HomeVisitations,VisitType,text,,YES,
HomeVisitations,LocationVisited,text,,YES,
HomeVisitations,FamilyMembersPresent,text,,YES,
HomeVisitations,Purpose,text,,YES,
HomeVisitations,Observations,text,,YES,
HomeVisitations,FamilyCooperationLevel,text,,YES,
HomeVisitations,SafetyConcernsNoted,boolean,,YES,
HomeVisitations,FollowUpNeeded,boolean,,YES,
HomeVisitations,FollowUpNotes,text,,YES,
HomeVisitations,VisitOutcome,text,,YES,
InKindDonationItems,ItemId,integer,,NO,
InKindDonationItems,DonationId,integer,,YES,
InKindDonationItems,ItemName,text,,YES,
InKindDonationItems,ItemCategory,text,,YES,
InKindDonationItems,Quantity,integer,,YES,
InKindDonationItems,UnitOfMeasure,text,,YES,
InKindDonationItems,EstimatedUnitValue,numeric,,YES,
InKindDonationItems,IntendedUse,text,,YES,
InKindDonationItems,ReceivedCondition,text,,YES,
IncidentReports,IncidentId,integer,,NO,
IncidentReports,ResidentId,integer,,YES,
IncidentReports,SafehouseId,integer,,YES,
IncidentReports,IncidentDate,date,,YES,
IncidentReports,IncidentType,text,,YES,
IncidentReports,Severity,text,,YES,
IncidentReports,Description,text,,YES,
IncidentReports,ResponseTaken,text,,YES,
IncidentReports,Resolved,boolean,,YES,
IncidentReports,ResolutionDate,date,,YES,
IncidentReports,ReportedBy,text,,YES,
IncidentReports,FollowUpRequired,boolean,,YES,
InterventionPlans,PlanId,integer,,NO,
InterventionPlans,ResidentId,integer,,YES,
InterventionPlans,PlanCategory,text,,YES,
InterventionPlans,PlanDescription,text,,YES,
InterventionPlans,ServicesProvided,text,,YES,
InterventionPlans,TargetValue,numeric,,YES,
InterventionPlans,TargetDate,date,,YES,
InterventionPlans,Status,text,,YES,
InterventionPlans,CaseConferenceDate,date,,YES,
InterventionPlans,CreatedAt,timestamp without time zone,,YES,
InterventionPlans,UpdatedAt,timestamp without time zone,,YES,
MlModelMeta,Id,integer,,NO,1
MlModelMeta,IncidentRiskFactors,jsonb,,YES,
MlModelMeta,SocialMediaRecs,jsonb,,YES,
MlModelMeta,ReintegrationModel,jsonb,,YES,
MlModelMeta,UpdatedAt,timestamp with time zone,,YES,
PartnerAssignments,AssignmentId,integer,,NO,
PartnerAssignments,PartnerId,integer,,YES,
PartnerAssignments,SafehouseId,integer,,YES,
PartnerAssignments,ProgramArea,text,,YES,
PartnerAssignments,AssignmentStart,date,,YES,
PartnerAssignments,AssignmentEnd,date,,YES,
PartnerAssignments,ResponsibilityNotes,text,,YES,
PartnerAssignments,IsPrimary,boolean,,YES,
PartnerAssignments,Status,text,,YES,
Partners,PartnerId,integer,,NO,
Partners,PartnerName,text,,YES,
Partners,PartnerType,text,,YES,
Partners,RoleType,text,,YES,
Partners,ContactName,text,,YES,
Partners,Email,text,,YES,
Partners,Phone,text,,YES,
Partners,Region,text,,YES,
Partners,Status,text,,YES,
Partners,StartDate,date,,YES,
Partners,EndDate,date,,YES,
Partners,Notes,text,,YES,
ProcessRecordings,RecordingId,integer,,NO,
ProcessRecordings,ResidentId,integer,,YES,
ProcessRecordings,SessionDate,date,,YES,
ProcessRecordings,SocialWorker,text,,YES,
ProcessRecordings,SessionType,text,,YES,
ProcessRecordings,SessionDurationMinutes,integer,,YES,
ProcessRecordings,EmotionalStateObserved,text,,YES,
ProcessRecordings,EmotionalStateEnd,text,,YES,
ProcessRecordings,SessionNarrative,text,,YES,
ProcessRecordings,InterventionsApplied,text,,YES,
ProcessRecordings,FollowUpActions,text,,YES,
ProcessRecordings,ProgressNoted,boolean,,YES,
ProcessRecordings,ConcernsFlagged,boolean,,YES,
ProcessRecordings,ReferralMade,boolean,,YES,
ProcessRecordings,NotesRestricted,text,,YES,
PublicImpactSnapshots,SnapshotId,integer,,NO,
PublicImpactSnapshots,SnapshotDate,date,,YES,
